personId,playerName,Position,Season Type,Games Played,Total Minutes,Avg Points,Avg Rebounds,Avg Assists,Avg Minutes,Pts Per 36,Reb Per 36,Ast Per 36,Scoring Percentile,Rebounding Percentile,Playmaking Percentile,Role Classification,Scoring Label,Rebounding Label,Playmaking Label
893,Michael Jordan,Guard,Playoffs,40,1655,31.8,6.4,4.1,41.4,27.63,5.59,3.59,100,88.1,47.8,All-Star,Elite Scorer,Great Rebounder,Average Playmaker
1629029,Luka Doncic,Forward,Playoffs,55,2129.72,30.9,9.2,7.8,38.7,28.69,8.52,7.22,100,82.3,99.7,Superstar,Elite Scorer,Great Rebounder,Elite Playmaker
947,Allen Iverson,Guard,Playoffs,71,3178,29.7,3.8,6,44.8,23.91,3.09,4.81,96.8,15.5,69.3,Superstar,Elite Scorer,Limited Rebounder,Good Playmaker
201142,Kevin Durant,Forward,Playoffs,171,6848.983333,29.3,7.8,4.2,40.1,26.32,7.01,3.75,99.5,63.2,91,Superstar,Elite Scorer,Good Rebounder,Great Playmaker
1629029,Luka Doncic,Forward,Regular Season,508,17589.02,29.2,8.5,8.2,34.6,30.4,8.86,8.56,100,84.2,100,Superstar,Elite Scorer,Great Rebounder,Elite Playmaker
2544,LeBron James,Forward,Playoffs,302,12299.66333,28.2,8.9,7.2,40.7,24.94,7.89,6.35,99,75.8,99,Superstar,Elite Scorer,Good Rebounder,Elite Playmaker
1628378,Donovan Mitchell,Guard,Playoffs,81,2939.116667,27.8,5,4.4,36.3,27.57,4.91,4.38,99.7,76.5,61.6,All-Star,Elite Scorer,Good Rebounder,Good Playmaker
203954,Joel Embiid,Center,Regular Season,486,15232.84,27.6,10.8,3.7,31.3,31.69,12.36,4.22,100,88.7,98,Superstar,Elite Scorer,Great Rebounder,Elite Playmaker
1626164,Devin Booker,Guard,Playoffs,51,2011.083333,27.5,5,5.2,39.4,25.06,4.56,4.76,98,68.3,67.5,All-Star,Elite Scorer,Good Rebounder,Good Playmaker
203999,Nikola Jokic,Center,Playoffs,100,3795.15,27.4,12.4,7.7,38,25.94,11.74,7.29,99.6,87.7,100,All-Star,Elite Scorer,Great Rebounder,Elite Playmaker
1631094,Paolo Banchero,Forward,Playoffs,19,727.0666667,27.4,8.7,4.9,38.3,25.75,8.17,4.6,99.2,79.9,96.5,All-Star,Elite Scorer,Good Rebounder,Elite Playmaker
1630595,Cade Cunningham,Guard,Playoffs,20,818.49,27.2,6.1,7.8,40.9,23.93,5.37,6.91,97.1,86.4,94.5,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
201142,Kevin Durant,Forward,Regular Season,1197,43372.25,27.1,6.9,4.4,36.2,26.94,6.83,4.36,99.7,56.5,95.1,Superstar,Elite Scorer,Average Rebounder,Elite Playmaker
203507,Giannis Antetokounmpo,Forward,Playoffs,84,3003.1,27,12.2,5.3,35.8,27.21,12.25,5.35,99.7,99.7,98.5,All-Star,Elite Scorer,Elite Rebounder,Elite Playmaker
2544,LeBron James,Forward,Regular Season,1615,60071.56,26.8,7.5,7.4,37.2,25.92,7.22,7.17,99.5,64.6,99.6,Superstar,Elite Scorer,Good Rebounder,Elite Playmaker
201939,Stephen Curry,Guard,Playoffs,155,5693.89,26.8,5.3,6.1,36.7,26.22,5.24,6.03,99.4,82.3,87.5,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
947,Allen Iverson,Guard,Regular Season,914,37153,26.7,3.7,6.2,40.6,23.61,3.29,5.45,97.9,18.4,65.1,Superstar,Elite Scorer,Limited Rebounder,Good Playmaker
1629027,Trae Young,Guard,Playoffs,27,1009,26.4,3.4,9,37.4,25.44,3.28,8.67,98.3,24.3,98,All-Star,Elite Scorer,Limited Rebounder,Elite Playmaker
1628983,Shai Gilgeous-Alexander,Guard,Playoffs,61,2230.71,26.2,4.8,6.2,36.6,25.82,4.71,6.15,98.8,72.6,89,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
203076,Anthony Davis,Center,Playoffs,60,2228,26.1,11.8,2.8,37.1,25.3,11.39,2.75,98.3,82.2,86.9,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
1629630,Ja Morant,Guard,Playoffs,22,799.53,26,6.2,8.1,36.3,25.8,6.12,8.06,98.6,94.2,97.4,All-Star,Elite Scorer,Great Rebounder,Elite Playmaker
1630162,Anthony Edwards,Guard,Playoffs,52,1966.006667,25.9,6.5,4.9,37.8,24.65,6.15,4.71,97.7,94.5,66.4,All-Star,Elite Scorer,Great Rebounder,Good Playmaker
1628973,Jalen Brunson,Guard,Playoffs,83,2935.403333,25.6,3.7,5.6,35.4,26.09,3.77,5.65,99.1,42.2,82.3,All-Star,Elite Scorer,Average Rebounder,Great Playmaker
977,Kobe Bryant,Forward,Playoffs,220,8531,25.6,5.1,4.7,38.8,23.8,4.72,4.39,98.7,20.6,95.4,All-Star,Elite Scorer,Limited Rebounder,Elite Playmaker
893,Michael Jordan,Guard,Regular Season,306,11251,25.5,5.9,4.1,36.8,24.97,5.74,4.02,98.6,91.3,39.9,All-Star,Elite Scorer,Great Rebounder,Average Playmaker
1717,Dirk Nowitzki,Forward,Playoffs,145,5827,25.3,10,2.5,40.2,22.63,8.93,2.22,97.4,87,64.5,All-Star,Elite Scorer,Great Rebounder,Good Playmaker
1628983,Shai Gilgeous-Alexander,Guard,Regular Season,527,17231.36,25.3,4.7,5.3,32.7,27.82,5.19,5.84,100,84.5,71.5,All-Star,Elite Scorer,Great Rebounder,Good Playmaker
203081,Damian Lillard,Guard,Playoffs,68,2654.99,25.2,4.4,6.1,39,23.25,4.01,5.61,96.2,52.3,81.7,All-Star,Elite Scorer,Average Rebounder,Great Playmaker
203081,Damian Lillard,Guard,Regular Season,894,31968.13,25.1,4.3,6.7,35.8,25.25,4.3,6.79,99,62.8,87,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
1629027,Trae Young,Guard,Regular Season,494,16649.83,25.1,3.5,9.8,33.7,26.8,3.7,10.44,99.7,36.3,100,All-Star,Elite Scorer,Average Rebounder,Elite Playmaker
1628378,Donovan Mitchell,Guard,Regular Season,607,20254.34,25,4.3,4.8,33.4,27.01,4.66,5.18,99.9,73.1,60.2,All-Star,Elite Scorer,Good Rebounder,Good Playmaker
977,Kobe Bryant,Forward,Regular Season,1346,47974,25,5.2,4.7,35.6,25.25,5.29,4.73,99.4,25.3,96.5,All-Star,Elite Scorer,Limited Rebounder,Elite Playmaker
203954,Joel Embiid,Center,Playoffs,66,2292.166667,24.8,10.5,3.3,34.7,25.71,10.87,3.46,99.2,76.3,94.9,Superstar,Elite Scorer,Good Rebounder,Great Playmaker
201939,Stephen Curry,Guard,Regular Season,1066,35717.86,24.8,4.6,6.3,33.5,26.64,4.99,6.78,99.6,80.8,86.8,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
1626164,Devin Booker,Guard,Regular Season,733,24848.94,24.6,4,5.3,33.9,26.09,4.26,5.62,99.4,60.5,67.4,All-Star,Elite Scorer,Good Rebounder,Good Playmaker
1630162,Anthony Edwards,Guard,Regular Season,438,15089.58,24.5,5.2,4.1,34.5,25.65,5.48,4.32,99.1,88.8,44.7,All-Star,Elite Scorer,Great Rebounder,Average Playmaker
1628369,Jayson Tatum,Forward,Playoffs,127,4888.106667,24.2,8.3,5,38.5,22.65,7.76,4.66,97.7,73.8,97.2,All-Star,Elite Scorer,Good Rebounder,Elite Playmaker
406,Shaquille O'Neal,Center,Playoffs,180,6620,24.1,11.7,2.5,36.8,23.6,11.41,2.45,97.5,82.6,82.8,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
203076,Anthony Davis,Center,Regular Season,801,27178.06,24,10.7,2.6,33.9,25.52,11.33,2.71,99.5,78.2,85.5,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
203507,Giannis Antetokounmpo,Forward,Regular Season,889,28630.31,24,9.9,5,32.2,26.85,11.1,5.59,99.6,96.5,99,All-Star,Elite Scorer,Elite Rebounder,Elite Playmaker
201935,James Harden,Guard,Regular Season,1216,41732.07,24,5.6,7.3,34.3,25.22,5.85,7.63,98.9,91.7,93.9,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
1629627,Zion Williamson,Forward,Regular Season,270,8260.61,23.9,6.4,4,30.6,28.14,7.56,4.76,99.9,68.8,96.6,All-Star,Elite Scorer,Good Rebounder,Elite Playmaker
1627750,Jamal Murray,Guard,Playoffs,85,3303.87,23.7,4.9,6,38.9,21.99,4.53,5.54,95.1,67.5,80.6,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
202681,Kyrie Irving,Guard,Regular Season,775,26378.16,23.7,4.1,5.6,34,25.03,4.32,5.93,98.7,63.5,72.9,All-Star,Elite Scorer,Good Rebounder,Good Playmaker
1641705,Victor Wembanyama,Center,Playoffs,19,629.55,23.6,10.7,2.6,33.1,25.68,11.67,2.86,98.7,86.9,87.3,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
1628369,Jayson Tatum,Forward,Regular Season,596,20247.53,23.5,7.4,3.9,34,24.92,7.84,4.11,99.2,71.9,93.5,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
252,Karl Malone,Forward,Regular Season,578,20771,23.5,9.1,4.2,35.9,23.55,9.07,4.22,98.7,86,94.2,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
1641705,Victor Wembanyama,Center,Regular Season,177,5315.55,23.5,11.1,3.6,30,28.12,13.25,4.27,99.8,93.1,98.3,All-Star,Elite Scorer,Great Rebounder,Elite Playmaker
2546,Carmelo Anthony,Forward,Playoffs,83,3051,23.1,6.7,2.5,36.8,22.58,6.57,2.41,97.2,52.6,70.6,All-Star,Elite Scorer,Average Rebounder,Good Playmaker
202681,Kyrie Irving,Guard,Playoffs,96,3548,23,3.7,4.9,37,22.43,3.58,4.78,95.7,35.1,68.1,All-Star,Elite Scorer,Average Rebounder,Good Playmaker
203078,Bradley Beal,Guard,Playoffs,49,1923,22.9,4.4,3.8,39.2,21.02,4.04,3.5,93.3,53.5,44.9,All-Star,Great Scorer,Average Rebounder,Average Playmaker
1626157,Karl-Anthony Towns,Center,Regular Season,716,23848.58,22.7,11.1,3.1,33.3,24.58,12.05,3.4,99.1,85.5,92.9,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
406,Shaquille O'Neal,Center,Regular Season,912,30302,22.6,10.3,2.5,33.2,24.45,11.18,2.74,98.8,76.1,86,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
1630595,Cade Cunningham,Guard,Regular Season,268,8955.13,22.5,5.5,8,33.4,24.27,5.87,8.57,98.3,92.2,97.2,All-Star,Elite Scorer,Great Rebounder,Elite Playmaker
2546,Carmelo Anthony,Forward,Regular Season,1260,42898,22.5,6.2,2.7,34,23.74,6.55,2.87,99,52.7,77.8,All-Star,Elite Scorer,Average Rebounder,Good Playmaker
201566,Russell Westbrook,Guard,Playoffs,135,4727.05,22.5,6.7,7.1,35,23.11,6.89,7.27,95.9,98,95.4,All-Star,Elite Scorer,Elite Rebounder,Elite Playmaker
1629630,Ja Morant,Guard,Regular Season,327,10230.7,22.4,4.6,7.4,31.3,25.8,5.32,8.54,99.3,86.3,97,All-Star,Elite Scorer,Great Rebounder,Elite Playmaker
1631094,Paolo Banchero,Forward,Regular Season,265,9053.383333,22.4,7.4,4.8,34.2,23.57,7.81,5.06,98.8,71.4,97.9,All-Star,Elite Scorer,Good Rebounder,Elite Playmaker
2548,Dwyane Wade,Guard,Playoffs,177,6615,22.3,5.2,4.9,37.4,21.52,5.05,4.73,94.5,79.7,66.7,All-Star,Great Scorer,Good Rebounder,Good Playmaker
1630166,Deni Avdija,Forward,Playoffs,5,174.23,22.2,6,4.6,34.8,22.94,6.2,4.75,,,,Starter,N/A Scorer,N/A Rebounder,N/A Playmaker
201935,James Harden,Guard,Playoffs,191,6852.636667,22.2,5.4,6.4,35.9,22.27,5.46,6.43,95.4,86.7,90.4,All-Star,Elite Scorer,Great Rebounder,Great Playmaker
203999,Nikola Jokic,Center,Regular Season,806,25403.2,22.2,11.1,7.5,31.5,25.34,12.63,8.55,99.3,90.5,100,All-Star,Elite Scorer,Great Rebounder,Elite Playmaker
1503,Tracy McGrady,Forward,Playoffs,50,1699,22.2,5.7,5,34,23.5,6.06,5.28,98.5,46.9,98.2,All-Star,Elite Scorer,Average Rebounder,Elite Playmaker
2548,Dwyane Wade,Guard,Regular Season,1054,35275,22,4.7,5.4,33.5,23.64,5.03,5.82,98,81.3,71.2,All-Star,Elite Scorer,Great Rebounder,Good Playmaker
252,Karl Malone,Forward,Playoffs,96,3755,22,9.9,3.5,39.1,20.28,9.12,3.21,93.8,89.6,85.2,All-Star,Great Scorer,Great Rebounder,Great Playmaker
201565,Derrick Rose,Guard,Playoffs,52,1936,21.9,4.3,6.3,37.2,21.22,4.2,6.14,93.6,59.6,88.6,Starter,Great Scorer,Average Rebounder,Great Playmaker
202322,John Wall,Guard,Playoffs,37,1415,21.9,4.3,9.8,38.2,20.61,4.05,9.26,91.7,53.9,99.6,All-Star,Great Scorer,Average Rebounder,Elite Playmaker
201942,DeMar DeRozan,Forward,Playoffs,63,2338,21.8,4.7,3.7,37.1,21.17,4.56,3.57,95.6,17.7,89.6,All-Star,Elite Scorer,Limited Rebounder,Great Playmaker
202738,Isaiah Thomas,Guard,Playoffs,26,851,21.7,3,6.1,32.7,23.86,3.26,6.68,96.5,23.2,93,Starter,Elite Scorer,Limited Rebounder,Great Playmaker
202695,Kawhi Leonard,Forward,Playoffs,146,5124.61,21.5,7.8,3,35.1,22.01,8.02,3.03,96.9,77.9,82.8,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
203078,Bradley Beal,Guard,Regular Season,806,27263.61,21.4,4,4.3,33.8,22.82,4.29,4.54,96.7,62,48.6,All-Star,Elite Scorer,Good Rebounder,Average Playmaker
201942,DeMar DeRozan,Forward,Regular Season,1260,42917.1,21.1,4.3,4.1,34.1,22.33,4.55,4.34,97.9,12.9,94.8,All-Star,Elite Scorer,Limited Rebounder,Great Playmaker
202710,Jimmy Butler,Forward,Playoffs,130,4851.92,21.1,6.2,4.7,37.3,20.37,5.99,4.51,94.3,45.5,95.9,All-Star,Great Scorer,Average Rebounder,Elite Playmaker
185,Chris Webber,Center,Regular Season,686,25452,21,9.9,4.3,37.1,20.38,9.62,4.14,94.8,48.1,97.6,All-Star,Great Scorer,Average Rebounder,Elite Playmaker
1642843,Cooper Flagg,Forward,Regular Season,70,2328.31,21,6.7,4.5,33.3,22.78,7.21,4.89,98.3,64.2,97.3,Potential Starter,Elite Scorer,Good Rebounder,Elite Playmaker
1628368,De'Aaron Fox,Guard,Regular Season,599,19472.93,21,3.9,6.1,32.5,23.29,4.29,6.8,97.7,62,87.3,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
1630178,Tyrese Maxey,Guard,Regular Season,384,12524.86,21,3.2,4.8,32.6,23.22,3.52,5.27,97.4,28.6,62,All-Star,Elite Scorer,Limited Rebounder,Good Playmaker
201566,Russell Westbrook,Guard,Regular Season,1297,42335.97,20.9,6.9,8,32.6,23.08,7.66,8.79,97.2,98.9,97.9,All-Star,Elite Scorer,Elite Rebounder,Elite Playmaker
200746,LaMarcus Aldridge,Center,Playoffs,72,2631,20.8,8.5,1.7,36.5,20.44,8.4,1.63,94.9,32.6,63.8,All-Star,Great Scorer,Average Rebounder,Good Playmaker
202331,Paul George,Forward,Playoffs,125,4783.76,20.8,7.2,4,38.3,19.54,6.75,3.81,92.8,56.6,91.5,All-Star,Great Scorer,Average Rebounder,Great Playmaker
1717,Dirk Nowitzki,Forward,Regular Season,1522,50652,20.7,7.5,2.4,33.3,22.43,8.17,2.59,98.1,76.9,70.6,All-Star,Elite Scorer,Good Rebounder,Good Playmaker
2240,Gilbert Arenas,Guard,Regular Season,552,19090,20.7,3.9,5.3,34.6,21.5,4.09,5.49,95.4,53,65.9,All-Star,Elite Scorer,Average Rebounder,Good Playmaker
202695,Kawhi Leonard,Forward,Regular Season,793,24842.13,20.7,6.4,3.1,31.3,23.82,7.32,3.56,99.1,66.5,88.5,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
